,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,,36.33,19.42,30.12,81.03,86.52,36.79,32.29
Inventory Days,,,251.42,105.16,130.51,247.66,263.46,124.77,144.65
Days Payable,,,87.31,11.5,15.49,23.35,11.21,10.54,11.35
Cash Conversion Cycle,,,200.44,113.08,145.14,305.34,338.77,151.03,165.59
Working Capital Days,,,190.12,126.96,140.23,292.99,301.92,159.36,176.42
ROCE %,,0.00,16.2,12.33,9.21,7.21,9.44,10.12,8.77
