,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,23.71,48.3,51.98,25.09,30.84,59.62,54.6,52.05
Expenses,0.0,0.0,21.78,44.4,48.08,22.09,26.32,55.13,50.36,48.77
Operating Profit,0.0,0.0,1.93,3.9,3.9,3.0,4.52,4.49,4.24,3.28
OPM %,,,8.14,8.07,7.5,11.96,14.66,7.53,7.77,6.30
Other Income,0.0,0.0,0.0,0.01,0.01,0.51,0.05,0.36,0.06,0.05
Interest,0.0,0.0,1.09,1.88,2.07,2.42,2.15,2.07,2.13,2.18
Depreciation,0.0,0.0,0.11,0.62,0.87,0.98,1.05,0.97,0.99,0.97
Profit before tax,0.0,0.0,0.73,1.41,0.97,0.11,1.37,1.81,1.18,0.18
Tax %,,,30.14,29.08,9.28,81.82,3.65,6.08,22.88,
Net Profit,0.0,0.0,0.51,1.0,0.88,0.03,1.32,1.7,0.91,0.11
EPS in Rs,,,0.44,0.87,0.55,0.02,0.83,1.07,0.57,-0.01
