,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,5.0,5.0,6.85,6.85,11.13,11.13,11.13,11.13
Reserves,0.0,0.0,0.51,1.51,7.01,7.04,3.36,3.81,4.58,4.05
Borrowings,0.01,0.56,16.39,24.97,20.65,21.74,24.44,22.84,22.0,21.01
Other Liabilities,0.0,0.01,5.95,2.35,3.37,2.73,1.48,3.77,3.73,6.71
Total Liabilities,0.02,0.58,27.85,33.83,37.88,38.36,40.41,41.55,41.44,42.9
Fixed Assets,0.0,0.0,6.92,13.38,12.9,14.46,13.46,12.54,12.31,11.99
CWIP,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.02,0.58,20.12,20.45,24.98,23.9,26.95,29.01,29.13,30.91
Total Assets,0.02,0.58,27.85,33.83,37.88,38.36,40.41,41.55,41.44,42.9
