,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,,,-0.00,102.08,130.36,140.33,35.5,10.45
Inventory Days,,,,,,,36.61,115.84,191.68
Days Payable,,,,,,,194.64,112.23,32.95
Cash Conversion Cycle,,,,-0.00,102.08,130.36,-17.7,39.11,169.18
Working Capital Days,,,,-60.83,15.07,19.56,-2.43,62.49,149.89
ROCE %,,-0.00,-1.60,1.45,16.23,14.96,5.12,12.48,9.66
