,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,-0.00,0.06,40.94,51.49,39.12,67.75,92.9,99.93
Expenses,0.0,0.01,0.01,0.05,40.65,50.99,38.75,65.69,89.08,95.17
Operating Profit,0.0,-0.01,-0.01,0.01,0.29,0.5,0.37,2.06,3.82,4.76
OPM %,,,,16.67,0.71,0.97,0.95,3.04,4.11,4.76
Other Income,0.0,0.01,-0.00,-0.0,-0.0,0.01,0.01,0.45,0.3,0.35
Interest,0.0,0.0,-0.00,-0.0,-0.0,0.06,0.09,0.49,1.86,2.63
Depreciation,0.0,0.0,-0.00,-0.0,0.01,0.02,0.03,0.41,0.49,0.61
Profit before tax,0.0,0.0,-0.01,0.01,0.28,0.43,0.26,1.61,1.77,1.87
Tax %,,,-0.00,-0.0,28.57,25.58,26.92,25.47,25.99,
Net Profit,0.0,0.0,-0.01,0.01,0.21,0.32,0.19,1.2,1.31,1.30
EPS in Rs,0.0,0.0,-0.57,0.57,1.05,1.6,0.48,3.0,2.38,2.36
