,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.18,0.18,0.18,0.18,2.0,2.0,4.0,4.0,5.5,5.5
Reserves,-0.01,-0.01,-0.02,-0.01,0.2,0.51,0.21,1.41,5.72,9.57
Borrowings,0.28,0.41,0.51,0.54,0.54,1.3,5.66,18.38,40.13,26.16
Other Liabilities,0.37,0.44,0.4,0.39,14.52,17.67,21.06,20.01,10.62,4.16
Total Liabilities,0.8200000000000001,1.02,1.07,1.1,17.26,21.48,30.93,43.8,61.97,45.39
Fixed Assets,0.17,0.17,0.58,0.58,0.63,0.77,9.55,9.6,12.61,12.69
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0
Investments,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1
Other Assets,0.55,0.75,0.39,0.42,16.63,20.71,21.28,31.95,49.26,32.6
Total Assets,0.8200000000000001,1.02,1.07,1.1,17.26,21.48,30.93,43.8,61.97,45.39
