,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,59.24,62.21,70.47,60.6,102.76,81.15,82.27,53.83,10.17,4.81,3.56,0.79,0.26
Expenses,56.53,58.94,67.37,56.32,99.75,77.19,78.18,51.52,23.6,4.25,2.78,1.0,0.78
Operating Profit,2.71,3.27,3.1,4.28,3.01,3.96,4.09,2.31,-13.43,0.56,0.78,-0.21,-0.52
OPM %,4.57,5.26,4.4,7.06,2.93,4.88,4.97,4.29,-132.06,11.64,21.91,-26.58,-200.00
Other Income,0.01,0.03,0.02,0.04,0.02,0.02,0.03,0.08,0.14,0.3,0.01,0.16,0.07
Interest,0.82,1.16,1.21,0.9,1.02,1.35,1.41,1.3,0.32,0.17,0.67,0.7,0.74
Depreciation,0.7,1.0,0.75,1.11,1.86,0.97,1.0,0.87,0.74,0.64,0.69,0.65,0.64
Profit before tax,1.2,1.14,1.16,2.31,0.15,1.66,1.71,0.22,-14.35,0.05,-0.57,-1.4,-1.83
Tax %,16.67,17.54,12.93,25.97,33.33,18.07,17.54,27.27,0.0,0.0,0.0,0.0,
Net Profit,1.0,0.94,1.01,1.71,0.11,1.36,1.41,0.16,-14.35,0.04,-0.57,-1.4,-1.85
EPS in Rs,0.04,0.04,0.04,0.07,0.0,0.06,0.06,0.01,-0.49,0.0,-0.02,-0.05,-0.06
