,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,60.83,45.62,365.00,486.67,135.19,0.00,41.58,384.73,390.17,192.64,292.00
Inventory Days,,,,,0.00,,0.00,0.00,0.00,0.00,0.00
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,60.83,45.62,365.00,486.67,135.19,0.00,41.58,384.73,390.17,192.64,292.00
Working Capital Days,-425.83,-319.38,-45.62,162.22,-40.56,-324.44,-27.72,-78.92,302.07,2108.89,1961.88
ROCE %,,1.47,1.53,1.52,1.58,3.62,3.53,4.88,2.38,2.34,2.75
