,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Reserves,-1.6800000000000002,-1.66,-1.63,-1.61,-1.59,-1.54,-1.49,-1.41,-1.38,-1.34,-1.3,-0.3
Borrowings,0.43,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.08,0.09,0.09,0.08,0.13,0.42,0.23,1.0,0.15,0.22,0.4,10.2
Total Liabilities,2.33,1.93,2.16,1.97,2.04,2.38,2.24,3.09,2.27,2.38,2.6,13.4
Fixed Assets,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,2.32,1.92,2.15,1.96,2.03,2.37,2.23,3.08,2.26,2.38,2.6,13.39
Total Assets,2.33,1.93,2.16,1.97,2.04,2.38,2.24,3.09,2.27,2.38,2.6,13.4
