,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,0.26,0.26,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28
Reserves,4.73,4.77,8.26,8.29,8.29,8.33,-5.55,-7.29,-7.35,-12.57,-12.55,-12.39
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.25,0.25,2.87
Other Liabilities,0.52,0.32,8.26,2.56,0.92,0.92,0.91,0.78,0.75,0.59,3.01,39.62
Total Liabilities,5.51,5.35,33.8,28.13,26.49,26.53,12.64,11.12,11.03,5.55,7.99,47.38
Fixed Assets,0.0,0.0,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,4.29,4.71,19.91,24.71,21.93,18.91,5.05,5.02,5.01,0.0,0.0,0.0
Other Assets,1.22,0.64,13.88,3.41,4.53,7.59,7.57,6.08,6.01,5.55,7.99,47.38
Total Assets,5.51,5.35,33.8,28.13,26.49,26.53,12.64,11.12,11.03,5.55,7.99,47.38
