,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.47,4.95,4.95,7.05,7.05,11.75,11.75,14.93,29.59,29.59
Reserves,0.94,-0.03,0.49,3.94,4.84,1.65,1.91,1.08,1.39,2.3
Borrowings,3.16,5.39,7.4,9.41,5.65,6.73,6.5600000000000005,0.75,0.0,0.0
Other Liabilities,0.86,2.4,4.32,5.09,6.51,11.37,6.35,2.85,2.65,5.79
Total Liabilities,5.43,12.71,17.16,25.49,24.05,31.5,26.57,19.61,33.63,37.68
Fixed Assets,0.12,0.3,0.6000000000000001,0.41,0.29,0.22,0.17,0.13,1.02,1.61
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,9.78,6.68
Other Assets,5.31,12.41,16.56,25.08,23.76,31.28,26.4,12.47,22.83,29.39
Total Assets,5.43,12.71,17.16,25.49,24.05,31.5,26.57,19.61,33.63,37.68
