,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.75,59.04,78.57,80.12,89.74,99.75,52.15,51.82,63.57,68.47
Expenses,14.73,58.32,79.2,79.24,88.95,97.04,52.37,51.47,62.93,67.62
Operating Profit,0.02,0.72,-0.63,0.88,0.79,2.71,-0.22,0.35,0.64,0.85
OPM %,0.14,1.22,-0.8,1.1,0.88,2.72,-0.42,0.68,1.01,1.24
Other Income,0.0,0.0,2.27,2.34,2.07,0.0,1.07,0.01,0.26,0.81
Interest,0.0,0.65,1.05,0.76,0.64,0.48,0.43,0.05,0.13,0.10
Depreciation,0.0,0.05,0.11,0.23,0.14,0.11,0.08,0.06,0.09,0.15
Profit before tax,0.02,0.02,0.48,2.23,2.08,2.12,0.34,0.25,0.68,1.41
Tax %,50.0,0.0,0.0,40.81,26.92,27.83,20.59,28.0,23.53,
Net Profit,0.02,0.01,0.48,1.33,1.51,1.52,0.26,0.18,0.53,1.24
EPS in Rs,0.2,0.01,0.52,0.1,0.12,0.12,0.02,0.01,0.02,0.04
