,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,22,6,-9,16
Cash from Investing Activity,-12,-38,-16,-15
Cash from Financing Activity,0,34,15,-4
Net Cash Flow,10,2,-11,-2
