,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,59.0,70,53,54
Inventory Days,95.0,109,112,97
Days Payable,47.0,71,43,46
Cash Conversion Cycle,107.0,108,122,105
Working Capital Days,96.0,114,109,97
ROCE %,,9,3,1
