,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,44.59,46.56,47.39,48.36,49.08,34.85,20.98,21.86,24.18,17.5,20.18,26.72,25.73
Expenses,40.15,41.96,42.84,43.44,42.34,29.53,16.5,17.47,20.27,14.91,21.1,24.07,24.29
Operating Profit,4.44,4.6,4.55,4.92,6.74,5.32,4.48,4.39,3.91,2.59,-0.92,2.65,1.44
OPM %,9.96,9.88,9.6,10.17,13.73,15.27,21.35,20.08,16.17,14.8,-4.56,9.92,5.60
Other Income,0.23,0.27,0.19,0.17,0.26,0.07,0.36,0.05,0.04,1.17,4.56,0.2,1.49
Interest,2.0,2.09,1.88,1.92,3.03,3.23,2.82,2.5,2.25,2.31,2.35,1.7,1.73
Depreciation,0.73,0.6,0.6,0.8,2.53,2.14,1.72,1.43,1.25,1.06,0.95,0.81,0.74
Profit before tax,1.94,2.18,2.26,2.37,1.44,0.02,0.3,0.51,0.45,0.39,0.34,0.34,0.46
Tax %,29.9,34.86,33.63,27.0,45.14,600.0,90.0,125.49,128.89,10.26,41.18,38.24,
Net Profit,1.36,1.42,1.5,1.74,0.8,-0.09,0.04,-0.13,-0.12,0.34,0.2,0.21,0.27
EPS in Rs,2.8,2.92,3.09,3.58,1.65,-0.19,0.08,-0.27,-0.25,0.7,0.41,0.43,0.55
