,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,49.12,49.13,49.21,49.43,49.54,49.65,49.73,50.54,51.16
FIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01
DIIs,15.42,15.42,15.41,15.41,15.19,14.85,14.17,11.96,10.59
Government,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.34,0.34
Public,35.46,35.46,35.38,35.16,35.27,35.17,35.76,36.16,36.9
No. of Shareholders,19190.0,19126.0,18977.0,18621.0,18466.0,18349.0,18537.0,18499.0,19090.0
