,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Reserves,-0.95,-0.88,-0.79,-0.42,-0.25,-0.2,0.05,0.19,0.13,0.33,15.32,16.26,17.8
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.92,0.9,0.84,1.05,0.33,0.25,0.28,0.32,0.35,0.56,0.99,1.38,1.22
Total Liabilities,4.97,5.02,5.05,5.63,5.08,5.05,5.33,5.51,5.48,5.89,21.31,22.64,24.02
Fixed Assets,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.25,0.16,0.25,0.09,0.09,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.13,2.22,2.35,3.46,4.08,4.28,4.69,4.23,4.96,4.97,20.38,20.63,21.74
Other Assets,2.68,2.64,2.54,2.01,0.84,0.61,0.48,1.03,0.36,0.67,0.84,1.92,2.28
Total Assets,4.97,5.02,5.05,5.63,5.08,5.05,5.33,5.51,5.48,5.89,21.31,22.64,24.02
