,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.74,2.53,2.92,2.71,3.12,2.86,3.13,2.96,2.96,3.4,3.39,3.87,3.58
Expenses,1.5,1.55,1.96,1.65,2.06,1.93,2.4,2.16,2.29,2.56,2.63,2.73,2.75
Operating Profit,1.24,0.98,0.96,1.06,1.06,0.93,0.73,0.8,0.67,0.84,0.76,1.14,0.83
OPM %,45.26,38.74,32.88,39.11,33.97,32.52,23.32,27.03,22.64,24.71,22.42,29.46,23.18
Other Income,0.25,0.46,0.31,0.26,0.31,0.39,0.43,0.32,0.46,0.29,0.47,0.32,0.52
Interest,0.2,0.2,0.19,0.16,0.16,0.16,0.22,0.15,0.25,0.18,0.31,0.2,0.2
Depreciation,0.22,0.22,0.22,0.22,0.24,0.25,0.24,0.23,0.24,0.26,0.25,0.28,0.29
Profit before tax,1.07,1.02,0.86,0.94,0.97,0.91,0.7,0.74,0.64,0.69,0.67,0.98,0.86
Tax %,26.17,24.51,20.93,25.53,24.74,25.27,28.57,27.03,1.56,33.33,25.37,28.57,31.4
Net Profit,0.79,0.77,0.68,0.7,0.73,0.68,0.5,0.54,0.63,0.46,0.5,0.71,0.59
EPS in Rs,11.29,11.0,9.71,10.47,10.92,10.17,7.48,8.07,9.42,6.88,7.48,10.62,8.82
