,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20,20,20,20,20,20,20,20,20,20
Reserves,-735,-400,-295,-193,-186,-38,-74,13,11,12
Borrowings,653,419,338,263,238,209,184,117,74,71
Other Liabilities,801,587,566,368,448,241,175,172,197,178
Total Liabilities,738,626,628,457,520,431,305,322,301,281
Fixed Assets,175,157,143,131,119,106,93,82,73,69
CWIP,13,9,9,9,9,9,9,9,9,9
Investments,0,0,0,0,0,0,0,6,7,7
Other Assets,551,460,476,317,392,316,202,225,212,196
Total Assets,738,626,628,457,520,431,305,322,301,281
