,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,49,78,124,14,121,151,68,45
Cash from Investing Activity,,6,0,-1,-1,0,0,0,0
Cash from Financing Activity,,-53,-80,-124,-13,-121,-150,-70,-46
Net Cash Flow,,2,-1,-1,-1,0,1,-1,0
