,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,32.83,32.34,33.81,35.28,44.4,44.07,44.27,66.62,85.59,82.62
Expenses,33.3,30.24,30.2,30.49,40.65,40.55,39.71,61.63,80.42,75.07
Operating Profit,-0.47,2.1,3.61,4.79,3.75,3.52,4.56,4.99,5.17,7.55
OPM %,-1.43,6.49,10.68,13.58,8.45,7.99,10.3,7.49,6.04,9.14
Other Income,2.03,0.09,0.35,0.98,0.57,1.0,2.15,1.37,1.19,1.26
Interest,0.79,0.68,0.67,0.52,0.23,0.09,0.08,0.02,0.05,0.07
Depreciation,0.27,0.21,0.18,0.14,0.13,0.14,0.18,0.25,0.29,0.28
Profit before tax,0.5,1.3,3.11,5.11,3.96,4.29,6.45,6.09,6.02,8.46
Tax %,32.0,34.62,32.8,22.31,28.03,33.33,25.89,30.05,27.74,
Net Profit,0.34,0.85,2.09,3.98,2.82,2.84,4.77,4.26,4.36,6.20
EPS in Rs,0.45,1.12,2.76,0.78,0.55,0.55,0.92,0.83,0.84,1.19
