,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,4
Reserves,434,459,5044,3773,2004,4623,5346,5847,7891
Borrowings,0,0,0,0,0,0,0,0,0
Other Liabilities,19,17,12,4,45,113,115,164,412
Total Liabilities,458,480,5061,3781,2054,4741,5466,6015,8307
Fixed Assets,1,1,1,1,1,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0
Investments,457,479,5058,3780,2017,4684,5380,5888,7894
Other Assets,0,0,2,0,36,57,86,127,413
Total Assets,458,480,5061,3781,2054,4741,5466,6015,8307
