,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,38.0,10.0,28.0,32.0,42.0,8.0,31.0,56.0,58
Expenses,2.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,4
Operating Profit,36.0,8.0,26.0,29.0,37.0,5.0,28.0,53.0,54
OPM %,95.0,80.0,92.0,90.0,87.0,60.0,91.0,95.0,93
Other Income,-12.0,-0.0,25.0,32.0,27.0,42.0,44.0,25.0,26
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,24.0,8.0,51.0,61.0,63.0,46.0,71.0,77.0,80
Tax %,0.0,-0.0,-0.0,0.0,24.0,25.0,20.0,25.0,
Net Profit,37.0,28.0,51.0,61.0,48.0,35.0,57.0,58.0,60
EPS in Rs,84.16,63.91,116.28,139.92,110.05,79.24,130.96,133.05,137.51
