,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01
Cash from Operating Activity,3,45,15,35,28,-64,59,11,-19,-30,21,23
Cash from Investing Activity,-2,-3,-4,-5,-4,-13,-1,0,1,0,0,1
Cash from Financing Activity,-1,-37,-21,-28,-24,78,-19,-11,17,21,-12,-24
Net Cash Flow,0,5,-10,2,1,1,39,1,0,-10,10,0
