,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01
Sales,132.0,137.0,165.0,124.0,170.0,159.0,200.0,148.0,138.0,155.0,154.0,132.0
Expenses,119.0,127.0,120.0,116.0,139.0,159.0,172.0,146.0,139.0,143.0,149.0,127.0
Operating Profit,13.0,10.0,45.0,8.0,31.0,1.0,28.0,2.0,-1.0,12.0,5.0,5.0
OPM %,10.0,7.0,27.0,6.0,18.0,1.0,14.0,1.0,-1.0,8.0,3.0,4.0
Other Income,4.0,3.0,2.0,-1.0,3.0,-2.0,3.0,4.0,2.0,10.0,6.0,5.0
Interest,19.0,22.0,23.0,25.0,25.0,21.0,20.0,7.0,6.0,10.0,10.0,10.0
Depreciation,4.0,5.0,5.0,5.0,5.0,11.0,8.0,7.0,6.0,5.0,6.0,5.0
Profit before tax,-7.0,-13.0,19.0,-23.0,4.0,-34.0,3.0,-9.0,-11.0,7.0,-6.0,-5.0
Tax %,19.0,-3.0,18.0,0.0,21.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Net Profit,-6.0,-13.0,16.0,-23.0,3.0,-34.0,3.0,-9.0,-11.0,7.0,-6.0,-5.0
EPS in Rs,-1.48,-3.55,4.2,-6.15,0.91,-10.06,0.94,-2.57,-3.19,1.97,-1.68,-1.34
