,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01
Equity Capital,38,38,38,38,38,34,34,34,34,34,34,34
Reserves,72,57,71,48,51,-9,-6,-14,-25,-18,-24,-29
Borrowings,125,108,115,112,110,216,218,215,238,268,267,253
Other Liabilities,65,93,67,87,106,70,72,61,52,51,51,50
Total Liabilities,298,296,290,283,303,311,317,295,298,334,328,309
Fixed Assets,47,51,49,49,48,49,45,41,35,36,33,28
CWIP,7,1,1,0,0,0,0,0,0,0,0,0
Investments,62,62,62,62,62,62,61,61,61,61,61,61
Other Assets,182,182,179,172,194,200,211,193,202,237,234,220
Total Assets,298,296,290,283,303,311,317,295,298,334,328,309
