,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-3,1,14,2,17,8,14,-9,22,15,22,19
Cash from Investing Activity,0,-1,-7,-4,-6,-7,-30,7,-6,-10,-12,-13
Cash from Financing Activity,4,-5,-4,0,-4,-1,11,-1,-14,-6,-3,-2
Net Cash Flow,0,-4,2,-2,8,1,-4,-3,3,0,7,3
