,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,6,6,6,6,6,6,6,6,6,6,6
Reserves,22,23,25,28,31,38,54,60,61,72,88,96,102
Borrowings,18,19,0,4,7,7,15,19,8,3,0,2,3
Other Liabilities,25,17,44,35,34,55,74,42,65,64,54,70,101
Total Liabilities,68,62,74,74,78,105,149,127,141,146,148,174,211
Fixed Assets,17,17,20,20,18,29,47,47,43,41,38,36,40
CWIP,0,0,0,2,6,1,2,1,2,2,3,3,0
Investments,1,1,6,7,3,2,2,2,2,2,13,11,12
Other Assets,51,45,48,45,50,73,98,77,94,102,94,125,160
Total Assets,68,62,74,74,78,105,149,127,141,146,148,174,211
