,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,12,12,14,14,14,14,14,20,20
Reserves,0,264,281,529,663,684,161,154,203,177
Borrowings,0,93,85,92,4,1,0,8,99,232
Other Liabilities,0,305,276,300,431,549,14,45,71,130
Total Liabilities,0,674,654,935,1112,1248,190,221,392,558
Fixed Assets,0,66,261,256,338,358,9,67,235,397
CWIP,0,193,2,0,0,10,18,3,2,0
Investments,0,14,18,309,87,73,142,47,28,15
Other Assets,0,400,373,370,686,807,22,104,127,146
Total Assets,0,674,654,935,1112,1248,190,221,392,558
