,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,757.0,826.0,806.0,988.0,10.0,10.0,16.0,127.0,181
Expenses,0,747.0,802.0,783.0,893.0,11.0,20.0,35.0,143.0,193
Operating Profit,-0,10.0,24.0,23.0,95.0,-1.0,-10.0,-19.0,-16.0,-12
OPM %,,1.0,3.0,3.0,10.0,-9.0,-106.0,-120.0,-13.0,-6
Other Income,0,5.0,7.0,21.0,31.0,93.0,3156.0,5.0,12.0,17
Interest,0,4.0,8.0,5.0,4.0,0.0,0.0,0.0,9.0,18
Depreciation,0,18.0,17.0,18.0,20.0,1.0,1.0,3.0,38.0,62
Profit before tax,-0,-8.0,6.0,21.0,103.0,91.0,3146.0,-17.0,-51.0,-74
Tax %,0,195.0,-21.0,87.0,30.0,1.0,23.0,21.0,21.0,
Net Profit,-0,7.0,7.0,3.0,72.0,90.0,2413.0,-13.0,-40.0,-61
EPS in Rs,,1.2,0.87,0.89,7.62,8.2,336.99,-1.56,-4.03,-6.54
