,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,41.08,42.89,101.95,67.64,35.96,46.27,58.43,65.29,56.29,35.19,53.77,45.63,35.78
Expenses,37.56,40.12,93.84,60.87,33.1,42.53,53.02,58.71,54.01,33.91,51.38,43.97,34.89
Operating Profit,3.52,2.77,8.11,6.77,2.86,3.74,5.41,6.58,2.28,1.28,2.39,1.66,0.89
OPM %,8.57,6.46,7.95,10.01,7.95,8.08,9.26,10.08,4.05,3.64,4.44,3.64,2.49
Other Income,0.73,0.77,0.13,-0.05,0.55,0.15,0.53,0.9,0.67,0.5,0.77,0.98,0.10
Interest,1.8,1.56,1.77,1.79,0.47,0.48,0.66,0.74,0.42,0.32,0.28,0.18,0.19
Depreciation,0.64,0.65,0.69,0.99,0.88,0.86,1.0,1.08,1.02,1.01,0.97,0.9,1.00
Profit before tax,1.81,1.33,5.78,3.94,2.06,2.55,4.28,5.66,1.51,0.45,1.91,1.56,-0.20
Tax %,25.41,36.09,30.97,42.89,37.86,30.59,29.91,28.09,32.45,11.11,26.18,26.92,
Net Profit,1.35,0.85,4.0,2.25,1.28,1.77,3.0,4.07,1.01,0.39,1.41,1.14,-0.30
EPS in Rs,4.46,2.81,13.21,7.43,4.23,5.84,9.91,13.44,3.33,1.29,4.66,3.76,-0.99
