,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,32.21,35.93,118.0,87.68,47.12,95.87,71.56,58.39,45.17,31.88,50.61,29.58
Expenses,30.51,32.03,88.87,68.55,42.41,83.74,60.28,49.15,43.03,43.48,44.94,28.26
Operating Profit,1.7,3.9,29.13,19.13,4.71,12.13,11.28,9.24,2.14,-11.6,5.67,1.32
OPM %,5.28,10.85,24.69,21.82,10.0,12.65,15.76,15.82,4.74,-36.39,11.2,4.46
Other Income,0.04,0.58,0.08,0.11,0.13,0.62,0.12,0.2,0.32,9.2,0.34,0.33
Interest,0.93,1.06,1.34,1.34,1.69,3.51,3.17,3.2,2.84,1.11,1.94,1.96
Depreciation,0.35,1.32,0.36,1.03,1.35,2.37,1.88,1.9,1.92,2.82,1.94,1.97
Profit before tax,0.46,2.1,27.51,16.87,1.8,6.87,6.35,4.34,-2.3,-6.33,2.13,-2.28
Tax %,54.35,24.29,25.26,24.96,32.78,23.14,47.24,39.63,30.43,20.54,25.35,10.09
Net Profit,0.22,1.6,20.55,12.66,1.22,5.28,3.34,2.62,-1.6,-5.03,1.6,-2.05
EPS in Rs,0.17,1.23,15.81,9.74,0.94,4.06,2.57,2.02,-1.23,-3.85,1.23,-1.57
