,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,15.52,24.49,28.54,24.08
Expenses,16.32,21.85,25.62,28.19
Operating Profit,-0.8,2.64,2.92,-4.11
OPM %,-5.15,10.78,10.23,-17.07
Other Income,0.36,-1.07,0.03,0.01
Interest,0.0,0.09,0.58,0.02
Depreciation,0.03,0.06,0.07,0.06
Profit before tax,-0.47,1.42,2.3,-4.18
Tax %,0.0,56.34,18.7,1.67
Net Profit,-0.46,0.62,1.86,-4.11
EPS in Rs,-92.0,124.0,6.09,-13.45
