,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.72,11.9,14.72,30.33,53.03,52.62
Expenses,8.26,10.56,12.03,25.69,47.48,53.81
Operating Profit,1.46,1.34,2.69,4.64,5.55,-1.19
OPM %,15.02,11.26,18.27,15.3,10.47,-2.26
Other Income,0.11,0.03,0.03,0.37,-1.03,0.04
Interest,0.06,0.02,0.01,0.01,0.67,0.60
Depreciation,0.05,0.06,0.04,0.04,0.13,0.13
Profit before tax,1.46,1.29,2.67,4.96,3.72,-1.88
Tax %,26.71,29.46,25.09,27.42,33.33,
Net Profit,1.07,0.91,1.99,3.6,2.48,-2.25
EPS in Rs,214.0,182.0,398.0,720.0,8.12,-7.36
