,2021-06-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,7.86,9.5,3.05,4.58,6.74,7.87,5.71,8.51,18.51
Expenses,8.87,9.17,5.34,5.22,6.62,7.92,7.33,8.48,18.47
Operating Profit,-1.01,0.33,-2.29,-0.64,0.12,-0.05,-1.62,0.03,0.04
OPM %,-12.85,3.47,-75.08,-13.97,1.78,-0.64,-28.37,0.35,0.22
Other Income,0.18,0.03,0.67,1.44,0.13,0.57,0.65,0.83,0.23
Interest,0.04,0.02,0.24,-0.11,0.04,0.01,0.18,0.13,0.14
Depreciation,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,-0.87,0.34,-1.87,0.91,0.21,0.51,-1.15,0.73,0.13
Tax %,0.0,23.53,-3.74,25.27,23.81,25.49,25.22,24.66,23.08
Net Profit,-0.87,0.25,-1.94,0.68,0.16,0.38,-0.86,0.55,0.1
EPS in Rs,-0.03,0.01,-0.06,0.01,0.0,0.0,-0.01,0.01,0.0
