,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25.22,27.5,41.67,13.75,13.34,26.44,25.72,40.60
Expenses,24.03,24.2,35.15,13.61,16.51,26.63,26.83,42.20
Operating Profit,1.19,3.3,6.52,0.14,-3.17,-0.19,-1.11,-1.60
OPM %,4.72,12.0,15.65,1.02,-23.76,-0.72,-4.32,-3.94
Other Income,0.0,1.15,0.29,0.19,3.64,0.94,1.79,2.28
Interest,0.23,0.76,0.88,0.89,0.3,0.28,0.04,0.46
Depreciation,0.01,0.05,0.06,0.05,0.06,0.01,0.01,0.00
Profit before tax,0.95,3.64,5.87,-0.61,0.11,0.46,0.63,0.22
Tax %,32.63,32.97,27.77,1.64,18.18,15.22,26.98,
Net Profit,0.64,2.43,4.23,-0.61,0.1,0.39,0.46,0.17
EPS in Rs,1.88,0.11,0.13,-0.02,0.0,0.01,0.01,0.00
