,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,3.41,4.67,4.67,4.67,10.52,76.85,76.85
Reserves,0.96,2.61,17.56,16.95,17.05,11.6,6.13,6.78
Borrowings,2.74,3.81,4.66,7.71,0.0,0.0,0.0,5.44
Other Liabilities,4.63,7.77,4.82,3.81,12.81,12.99,15.92,8.79
Total Liabilities,8.38,17.6,31.71,33.14,34.53,35.11,98.9,97.86
Fixed Assets,0.05,0.1,0.11,0.06,0.0,0.03,0.05,0.07
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,8.33,17.5,31.6,33.08,34.53,35.08,98.85,97.79
Total Assets,8.38,17.6,31.71,33.14,34.53,35.11,98.9,97.86
