,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,2,2,2,6,8,8,8,8,8,9
Reserves,0,0,0,2,2,5,16,11,14,16,14,67
Borrowings,3,11,10,12,13,15,17,20,18,15,11,0
Other Liabilities,0,2,3,7,10,9,4,9,5,12,7,1
Total Liabilities,5,16,16,23,28,36,45,48,45,51,41,77
Fixed Assets,0,5,5,5,5,4,4,15,13,12,5,8
CWIP,5,0,0,0,2,6,11,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,1,10,11,18,21,25,30,33,32,39,37,68
Total Assets,5,16,16,23,28,36,45,48,45,51,41,77
