,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,43,30,30,38,22,24,22,24,13,39
Inventory Days,,57,35,63,60,66,82,88,83,77,53
Days Payable,,19,14,32,44,30,14,31,12,17,17
Cash Conversion Cycle,,82,51,61,54,58,93,79,95,72,76
Working Capital Days,,77,43,54,47,52,94,85,95,74,86
ROCE %,,12,12,19,18,17,2,-7,15,9,-1
