,2010-03-01,2011-03-01,2012-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Sales,4.59,8.55,8.61,13.4,13.52,14.19,16.88,18.78,18.24,5.24,2.08,4.85
Expenses,4.06,7.81,7.27,10.39,10.31,11.79,13.83,14.67,22.97,22.94,2.4,3.83
Operating Profit,0.53,0.74,1.34,3.01,3.21,2.4,3.05,4.11,-4.73,-17.7,-0.32,1.02
OPM %,11.55,8.65,15.56,22.46,23.74,16.91,18.07,21.88,-25.93,-337.79,-15.38,21.03
Other Income,0.0,0.0,0.0,0.12,0.02,0.08,0.02,0.07,0.61,5.47,2.13,0.71
Interest,0.0,0.0,0.0,0.78,0.96,0.88,1.01,1.59,1.5,0.96,0.86,0.74
Depreciation,0.1,0.09,0.13,0.57,0.66,0.49,0.53,0.86,0.95,0.66,0.4,0.25
Profit before tax,0.43,0.65,1.21,1.78,1.61,1.11,1.53,1.73,-6.57,-13.85,0.55,0.74
Tax %,37.21,35.38,33.06,34.83,34.16,53.15,33.99,28.32,23.74,24.55,96.36,95.95
Net Profit,0.27,0.42,0.8,1.17,1.07,0.52,1.02,1.24,-5.01,-10.45,0.02,0.03
EPS in Rs,5.4,8.4,8.0,7.8,7.13,2.6,5.1,1.0,-4.03,-8.4,0.02,0.02
