,2010-03-01,2011-03-01,2012-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,0.5,0.5,1.0,1.5,1.5,2.0,2.0,12.44,12.44,12.44,12.44,12.44
Reserves,1.31,1.75,2.55,4.46,5.51,6.03,6.92,4.71,-0.3,-10.75,-10.73,-10.7
Borrowings,2.02,3.97,3.24,5.59,6.75,6.61,9.4,10.3,9.49,9.55,10.32,11.0
Other Liabilities,1.78,1.66,2.62,4.71,5.49,7.88,7.48,5.96,11.04,9.13,5.37,4.53
Total Liabilities,5.61,7.88,9.41,16.26,19.25,22.52,25.8,33.41,32.67,20.37,17.4,17.27
Fixed Assets,0.3,0.29,0.85,2.83,2.48,2.22,2.02,2.83,2.19,1.49,1.09,0.96
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,5.31,7.59,8.56,13.43,16.77,20.3,23.78,30.58,30.48,18.88,16.31,16.31
Total Assets,5.61,7.88,9.41,16.26,19.25,22.52,25.8,33.41,32.67,20.37,17.4,17.27
