,2017-06-01,2017-09-01,2017-12-01,2018-12-01
Sales,0.00,6.22,6.49,0.0
Expenses,0.03,4.87,4.18,0.0
Operating Profit,-0.03,1.35,2.31,0.0
OPM %,,21.7,35.59,
Other Income,0.00,0.01,-0.83,0.0
Interest,0.00,0.5,0.04,0.0
Depreciation,0.00,0.2,0.07,0.0
Profit before tax,-0.03,0.66,1.37,0.0
Tax %,0.00,33.33,16.06,
Net Profit,-0.03,0.45,1.15,0.0
EPS in Rs,-0.15,2.25,1.31,0.0
