,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,,18,23,-7,-1,-27,-15
Cash from Investing Activity,,,,-4,-9,7,-2,-4,-4
Cash from Financing Activity,,,,-12,-19,1,4,35,18
Net Cash Flow,,,,1,-5,0,1,4,-2
