,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,93.0,102,132,102,63,116,144,83,91
Inventory Days,6636.0,4173,1076,4866,2864,9973,1081,,
Days Payable,428.0,342,106,401,150,708,71,,
Cash Conversion Cycle,6300.0,3933,1102,4566,2777,9380,1154,83,91
Working Capital Days,851.0,837,556,727,714,890,841,769,648
ROCE %,,8,10,17,10,10,-6,4,12
