,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,5,7,14,14,14,14,15,15.0
Reserves,-2,8,13,27,31,45,83,53,54.0
Preference Capital,0,0,0,0,0,0,0,0,
Borrowings,0,0,0,0,1,0,0,4,3.0
Other Liabilities,0,5,6,9,8,11,14,10,10.0
Total Liabilities,1,19,25,50,54,70,111,81,82.0
Fixed Assets,0,0,0,0,1,0,0,5,5.0
CWIP,0,0,0,0,0,0,0,0,0.0
Investments,0,17,19,44,48,59,94,61,63.0
Other Assets,0,1,6,6,4,10,17,14,14.0
Total Assets,1,19,25,50,54,70,111,81,82.0
