,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1382.0,1343.0,1456.0,1500.0,1447.0,2167.0,2694.0,3015
Expenses,1081.0,1218.0,1283.0,1309.0,1250.0,1709.0,2073.0,2301
Operating Profit,301.0,125.0,172.0,192.0,197.0,458.0,621.0,714
OPM %,22.0,9.0,12.0,13.0,14.0,21.0,23.0,24
Other Income,45.0,49.0,50.0,44.0,31.0,39.0,64.0,83
Interest,14.0,28.0,38.0,57.0,73.0,86.0,86.0,79
Depreciation,70.0,86.0,102.0,115.0,123.0,130.0,150.0,160
Profit before tax,262.0,60.0,83.0,64.0,32.0,281.0,449.0,557
Tax %,35.0,45.0,38.0,43.0,11.0,30.0,27.0,
Net Profit,170.0,33.0,51.0,36.0,29.0,196.0,326.0,409
EPS in Rs,35.1,6.78,10.44,7.36,5.81,7.75,12.16,15.24
