,2021-06-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,485.0,583.0,521.0,617.0,679.0,694.0,703.0,773.0,844.0
Expenses,386.0,448.0,441.0,485.0,522.0,534.0,540.0,595.0,631.0
Operating Profit,100.0,136.0,80.0,133.0,157.0,160.0,163.0,178.0,213.0
OPM %,21.0,23.0,15.0,21.0,23.0,23.0,23.0,23.0,25.0
Other Income,6.0,10.0,12.0,9.0,16.0,12.0,28.0,21.0,21.0
Interest,16.0,18.0,28.0,19.0,18.0,21.0,20.0,18.0,20.0
Depreciation,31.0,33.0,35.0,36.0,37.0,39.0,38.0,40.0,43.0
Profit before tax,58.0,95.0,29.0,87.0,117.0,112.0,133.0,141.0,171.0
Tax %,28.0,26.0,40.0,33.0,27.0,28.0,24.0,28.0,27.0
Net Profit,42.0,70.0,18.0,59.0,86.0,81.0,101.0,102.0,125.0
EPS in Rs,8.39,2.76,0.69,2.32,3.38,3.01,3.77,3.8,4.66
