,2016-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,48,48,49,49,50,51,54,54.0
Reserves,976,1136,1246,1300,1333,1565,2375,2600.0
Preference Capital,32,32,0,0,0,0,0,
Borrowings,133,423,787,929,931,1109,1122,795.0
Other Liabilities,328,376,347,388,380,421,547,631.0
Total Liabilities,1485,1984,2430,2666,2694,3146,4097,4079.0
Fixed Assets,914,1094,1194,1703,1616,1776,2050,2159.0
CWIP,12,317,666,382,464,439,327,351.0
Investments,0,0,0,0,0,0,0,0.0
Other Assets,559,573,570,581,615,930,1720,1570.0
Total Assets,1485,1984,2430,2666,2694,3146,4097,4079.0
