,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.39,18.21,20.39,26.13,23.94,46.9,67.79,36.18,36.33
Expenses,15.59,15.01,16.96,20.27,30.02,29.41,51.02,34.87,33.27
Operating Profit,1.8,3.2,3.43,5.86,-6.08,17.49,16.77,1.31,3.06
OPM %,10.35,17.57,16.82,22.43,-25.4,37.29,24.74,3.62,8.42
Other Income,0.37,0.58,0.92,1.0,2.5,2.39,5.91,1.07,1.11
Interest,1.28,1.54,1.87,2.36,3.04,2.26,0.96,0.99,0.98
Depreciation,0.68,1.23,2.12,3.13,3.92,3.97,3.69,5.07,5.66
Profit before tax,0.21,1.01,0.36,1.37,-10.54,13.65,18.03,-3.68,-2.47
Tax %,104.76,10.89,69.44,18.25,18.6,13.99,33.78,16.58,
Net Profit,-0.01,0.9,0.11,1.11,-8.59,11.74,11.94,-3.07,-2.36
EPS in Rs,-0.02,0.97,0.1,0.73,-5.61,7.67,7.8,-1.98,-1.51
