,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.04,9.28,11.46,15.3,15.3,15.3,15.3,15.48,15.48
Reserves,-2.27,7.6,7.42,16.53,7.92,19.72,35.28,32.71,33.36
Borrowings,11.08,8.45,18.78,18.15,17.95,10.34,12.55,10.09,12.32
Other Liabilities,5.5600000000000005,5.5600000000000005,11.72,11.32,12.7,20.62,14.75,7.64,7.59
Total Liabilities,20.41,30.89,49.38,61.3,53.87,65.98,77.88,65.92,68.75
Fixed Assets,8.67,16.35,28.17,32.59,30.54,27.38,19.07,24.97,23.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,5.51
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,11.74,14.54,21.21,28.71,23.33,38.6,58.81,39.05,40.24
Total Assets,20.41,30.89,49.38,61.3,53.87,65.98,77.88,65.92,68.75
