,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34,64.0,36.0,31.0,51.0,27.0,27.0,33.0,48.0,51.0,74.0,74.0,75
Expenses,27,46.0,29.0,25.0,35.0,25.0,25.0,32.0,38.0,42.0,51.0,49.0,47
Operating Profit,7,19.0,7.0,5.0,16.0,2.0,2.0,0.0,11.0,8.0,23.0,25.0,28
OPM %,19,29.0,19.0,17.0,30.0,8.0,8.0,1.0,22.0,17.0,31.0,34.0,37
Other Income,1,1.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,5
Interest,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,1,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1
Profit before tax,7,19.0,7.0,6.0,18.0,4.0,3.0,2.0,10.0,8.0,21.0,27.0,32
Tax %,31,31.0,31.0,29.0,33.0,33.0,45.0,13.0,22.0,25.0,26.0,25.0,
Net Profit,5,13.0,5.0,4.0,12.0,3.0,2.0,2.0,8.0,6.0,15.0,20.0,24
EPS in Rs,,25.07,9.0,8.01,22.57,5.61,3.18,3.0,15.31,10.64,29.1,38.2,45.21
