,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.64,0.67,0.00,0.13,0.18,0.05,0.03,0.00,0.02,0.03,0.04
Expenses,2.22,0.75,0.03,0.09,0.2,0.03,0.04,0.03,0.11,0.02,0.05
Operating Profit,-0.58,-0.08,-0.03,0.04,-0.02,0.02,-0.01,-0.03,-0.09,0.01,-0.01
OPM %,-35.37,-11.94,,30.77,-11.11,40.00,-33.33,,-450.0,33.33,-25.0
Other Income,0.0,0.12,0.00,0.0,0.13,0.00,0.0,0.00,0.1,0.00,0.0
Interest,0.09,0.00,0.00,0.0,0.02,0.00,0.01,0.00,0.0,0.00,0.0
Depreciation,0.14,0.04,0.05,0.03,0.05,0.02,0.02,0.02,0.02,0.01,0.01
Profit before tax,-0.81,0.00,-0.08,0.01,0.04,0.00,-0.04,-0.05,-0.01,0.00,-0.02
Tax %,0.0,,0.00,0.0,0.0,,0.0,0.00,0.0,,0.0
Net Profit,-0.81,0.00,-0.08,0.02,0.04,0.00,-0.04,-0.04,-0.01,-0.01,-0.02
EPS in Rs,-0.77,0.00,-0.08,0.02,0.04,0.00,-0.04,-0.04,-0.01,-0.01,-0.02
