,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.81,43.99,32.4,39.9,13.75,5.78,0.98,0.09,0.09
Expenses,35.59,42.54,30.95,39.96,20.78,6.14,0.96,0.19,0.21
Operating Profit,1.22,1.45,1.45,-0.06,-7.03,-0.36,0.02,-0.1,-0.12
OPM %,3.31,3.3,4.48,-0.15,-51.13,-6.23,2.04,-111.11,-133.33
Other Income,0.07,0.15,0.12,1.0,0.73,0.34,0.13,0.1,0.10
Interest,0.81,1.19,1.25,1.06,0.54,0.44,0.03,0.01,0.00
Depreciation,0.25,0.21,0.21,0.25,0.19,0.14,0.11,0.08,0.06
Profit before tax,0.23,0.2,0.11,-0.37,-7.03,-0.6,0.01,-0.09,-0.08
Tax %,39.13,95.0,54.55,5.41,0.14,0.0,100.0,0.0,
Net Profit,0.15,0.01,0.06,-0.36,-7.02,-0.59,0.01,-0.09,-0.08
EPS in Rs,0.14,0.01,0.06,-0.34,-6.69,-0.56,0.01,-0.09,-0.08
