,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.58,6.58,6.58,6.58,6.58,6.58,10.52,10.52,12.36
Reserves,6.4,6.41,6.47,6.12,-0.9,-1.5,-5.44,-5.52,-5.54
Borrowings,6.42,8.71,9.69,5.31,4.78,2.45,2.71,5.0,6.89
Other Liabilities,5.93,6.54,8.3,16.08,6.62,6.12,4.13,0.87,0.89
Total Liabilities,25.33,28.24,31.04,34.09,17.08,13.65,11.92,10.87,12.76
Fixed Assets,5.72,5.54,5.8100000000000005,5.5600000000000005,5.37,5.23,5.13,0.45,0.42
CWIP,0.38,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Investments,0.98,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,18.25,20.65,24.83,28.13,11.31,8.02,6.39,10.02,11.94
Total Assets,25.33,28.24,31.04,34.09,17.08,13.65,11.92,10.87,12.76
