,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,13,39,73,89,100,49,67,94,134
Cash from Investing Activity,-9,-43,-98,-33,-23,-22,-52,-86,-118
Cash from Financing Activity,1,4,25,-56,-78,-24,-19,-9,-16
Net Cash Flow,5,-1,0,0,-1,4,-4,0,0
