,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,12,12,12,12,12,12,13.0
Reserves,79,106,85,99,130,148,184,265,402,642.0
Preference Capital,48,48,0,77,77,77,77,77,77,
Borrowings,177,215,322,305,272,252,259,288,303,316.0
Other Liabilities,224,286,275,366,343,324,318,351,335,256.0
Total Liabilities,492,620,694,782,757,736,773,916,1052,1226.0
Fixed Assets,186,202,290,349,350,338,387,463,465,590.0
CWIP,44,66,62,17,19,36,24,5,98,28.0
Investments,0,0,1,2,1,1,1,3,2,3.0
Other Assets,262,352,342,415,387,360,361,444,488,606.0
Total Assets,492,620,694,782,757,736,773,916,1052,1226.0
