,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,119.0,178.0,309.0,387.0,552.0,683
Expenses,110.0,166.0,275.0,338.0,483.0,582
Operating Profit,8.0,12.0,35.0,49.0,69.0,101
OPM %,7.0,7.0,11.0,13.0,13.0,15
Other Income,2.0,2.0,3.0,2.0,2.0,2
Interest,3.0,5.0,6.0,7.0,10.0,14
Depreciation,2.0,2.0,1.0,1.0,2.0,5
Profit before tax,5.0,6.0,31.0,43.0,60.0,84
Tax %,24.0,36.0,24.0,26.0,26.0,
Net Profit,4.0,4.0,24.0,32.0,44.0,62
EPS in Rs,4.29,4.73,27.06,20.81,21.78,30.74
