,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,92.0,81.0,89.0,106.0,110.0,114.0,126.0,136.0,176.0,180.0,191.0
Expenses,82.0,72.0,76.0,93.0,96.0,99.0,111.0,119.0,155.0,152.0,157.0
Operating Profit,10.0,9.0,13.0,13.0,14.0,14.0,16.0,18.0,22.0,28.0,35.0
OPM %,11.0,12.0,15.0,12.0,12.0,13.0,12.0,13.0,12.0,15.0,18.0
Other Income,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Interest,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
Profit before tax,9.0,9.0,12.0,11.0,11.0,12.0,14.0,15.0,19.0,23.0,27.0
Tax %,28.0,25.0,24.0,27.0,28.0,25.0,26.0,25.0,27.0,26.0,26.0
Net Profit,7.0,7.0,9.0,8.0,8.0,9.0,10.0,11.0,13.0,17.0,20.0
EPS in Rs,7.58,7.8,6.74,5.23,5.3,4.49,5.12,5.56,6.62,8.58,9.98
