,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,11.41,9.33,12.37,11.45,12.27,13.77,13.39,13.18
Expenses,6.52,6.42,7.8,7.0,7.3,8.16,8.43,8.68
Operating Profit,4.89,2.91,4.57,4.45,4.97,5.61,4.96,4.5
OPM %,42.86,31.19,36.94,38.86,40.51,40.74,37.04,34.14
Other Income,0.38,0.86,0.62,0.58,0.5,0.33,0.61,0.74
Interest,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.13,0.15,0.15,0.19,0.18,0.16,0.17,0.22
Profit before tax,5.12,3.62,5.04,4.84,5.29,5.78,5.4,5.02
Tax %,26.76,32.04,27.18,31.2,31.95,11.76,24.26,25.7
Net Profit,3.75,2.46,3.68,3.33,3.59,5.11,4.08,3.74
EPS in Rs,3.12,2.05,3.07,2.77,2.99,4.26,3.4,3.12
