,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,41.22,41.28,41.69,42.46,45.85,48.36,48.42,48.42
FIIs,3.59,6.3,3.08,1.3,2.84,4.78,3.83,0.81
DIIs,0.26,0.84,0.11,0.16,0.03,0.03,0.84,0.02
Public,54.93,51.58,55.12,56.07,51.28,46.83,46.92,50.74
No. of Shareholders,15950.0,21608.0,23272.0,24137.0,24822.0,29759.0,31218.0,40964.0
