,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.17
DIIs,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Public,77.53,77.53,77.53,77.53,77.53,77.53,77.53,77.52,77.52
No. of Shareholders,2854.0,2854.0,2854.0,2832.0,2879.0,2937.0,3764.0,3828.0,3965.0
