,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,16.66,3.9,9.62,16.4,32.0,29.33,18.33,11.39,16.57,10.84,4.1
Expenses,16.17,2.85,8.34,16.27,31.44,28.86,17.91,12.82,16.43,10.3,3.93
Operating Profit,0.49,1.05,1.28,0.13,0.56,0.47,0.42,-1.43,0.14,0.54,0.17
OPM %,2.94,26.92,13.31,0.79,1.75,1.6,2.29,-12.55,0.84,4.98,4.15
Other Income,0.02,0.0,0.0,0.2,0.18,0.64,0.11,1.57,0.16,0.05,0.01
Interest,0.28,0.29,0.29,0.29,0.22,0.28,0.36,-0.02,0.0,0.02,0.02
Depreciation,0.04,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Profit before tax,0.19,0.69,0.92,-0.04,0.44,0.76,0.1,0.09,0.23,0.5,0.09
Tax %,42.11,0.0,0.0,0.0,120.45,0.0,0.0,0.0,13.04,26.0,22.22
Net Profit,0.11,0.68,0.91,-0.03,-0.08,0.77,0.1,0.09,0.21,0.37,0.07
EPS in Rs,0.01,0.05,0.06,-0.0,-0.01,0.05,0.01,0.01,0.01,0.02,0.0
