,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.22,0.22,0.22,2.97,4.07
Reserves,1.98,2.01,2.02,0.06,2.5700000000000003
Preference Capital,0.01,0.01,0.01,0.0,
Borrowings,0.0,0.64,0.15,0.06,0.13
Other Liabilities,1.1,0.27,0.43,0.35,1.31
Total Liabilities,3.3,3.14,2.8200000000000003,3.44,8.08
Fixed Assets,0.04,0.02,0.02,0.02,0.15
CWIP,0.0,0.0,0.0,0.01,0.0
Investments,0.1,0.09,0.15,0.01,1.67
Other Assets,3.16,3.03,2.65,3.4,6.26
Total Assets,3.3,3.14,2.8200000000000003,3.44,8.08
