,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,50.8,44.12,34.38,165.57,194.44,
Inventory Days,,,0.00,0.00,0.00,
Days Payable,,,,,,
Cash Conversion Cycle,50.8,44.12,34.38,165.57,194.44,
Working Capital Days,106.04,432.38,149.88,298.94,537.61,
ROCE %,,3.23,3.31,2.98,2.49,
